codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
VGIR11,Títulos e Val. Mob.,"R$ 95,10",7745.0,"R$ 0,45","0,50%","1,59%","3,03%","6,40%","0,53%","0,51%","0,53%","1,01%","1,92%","2,43%","2,95%","R$ 436.618.569,79","R$ 96,89","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
MGHT11,Hotel,"R$ 97,50",2.0,"R$ 0,65","0,67%","1,90%","3,42%","0,00%","0,63%","0,57%","0,00%","1,32%","-2,97%","-2,32%","-1,69%","R$ 105.158.472,29","R$ 100,33","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
CPTS11,Títulos e Val. Mob.,"R$ 102,20",59388.0,"R$ 1,05","1,05%","3,05%","5,77%","10,00%","1,02%","0,96%","0,83%","2,07%","-2,94%","-1,92%","-0,92%","R$ 1.281.820.456,23","R$ 95,27","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
MORE11,Títulos e Val. Mob.,"R$ 98,00",1948.0,"R$ 0,52","0,53%","1,85%","4,27%","0,00%","0,62%","0,71%","0,00%","0,98%","-10,73%","-10,26%","-9,86%","R$ 233.333.373,72","R$ 100,61","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
GCFF11,Títulos e Val. Mob.,"R$ 96,31",73.0,"R$ 0,90","0,90%","2,48%","0,00%","0,00%","0,83%","0,00%","0,00%","1,80%","6,81%","7,77%","8,74%","R$ 33.662.542,51","R$ 99,42","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
BLCP11,Outros,"R$ 103,13",1.0,"R$ 0,67","0,65%","2,05%","0,00%","0,00%","0,68%","0,00%","0,00%","1,36%","-2,23%","-1,59%","-0,89%","R$ 112.436.077,31","R$ 103,14","1,00",N/A,N/A,N/A,N/A,N/A,N/A,2
HCTR11,Outros,"R$ 152,40",30464.0,"R$ 2,00","1,34%","4,41%","9,43%","15,81%","1,47%","1,57%","1,32%","2,76%","-3,67%","-2,39%","-0,99%","R$ 843.764.436,40","R$ 117,88","1,29",N/A,N/A,N/A,N/A,N/A,N/A,0
OUFF11,Títulos e Val. Mob.,"R$ 83,55",3402.0,"R$ 0,60","0,71%","2,45%","4,23%","8,39%","0,82%","0,70%","0,70%","1,38%","-3,36%","-2,67%","-2,02%","R$ 164.625.376,70","R$ 90,74","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
TRNT11,Lajes Corporativas,"R$ 169,67",124.0,"R$ 0,38","0,23%","0,85%","1,67%","3,10%","0,28%","0,28%","0,26%","0,52%","7,73%","7,97%","8,29%","R$ 816.233.892,77","R$ 207,40","0,82",N/A,N/A,N/A,N/A,"39,40%",N/A,1
HCRI11,Hospital,"R$ 469,00",73.0,"R$ 2,98","0,62%","1,92%","3,81%","7,63%","0,64%","0,63%","0,64%","1,25%","-3,63%","-3,03%","-2,43%","R$ 60.609.813,26","R$ 303,05","1,55",N/A,N/A,N/A,N/A,"0,00%",N/A,1
BTLG11,Logística,"R$ 114,31",50047.0,"R$ 0,60","0,53%","1,58%","3,25%","6,04%","0,53%","0,54%","0,50%","1,03%","-3,62%","-3,11%","-2,62%","R$ 1.313.361.872,47","R$ 101,15","1,13",N/A,N/A,N/A,N/A,"0,00%","0,00%",12
OURE11,Títulos e Val. Mob.,"R$ 88,94",376.0,"R$ 0,64","0,69%","2,58%","4,74%","8,63%","0,86%","0,79%","0,72%","1,34%","-2,63%","-1,95%","-1,32%","R$ 82.721.023,61","R$ 99,44","0,89",N/A,N/A,N/A,N/A,N/A,N/A,0
HMOC11,Shoppings,"R$ 226,95",115.0,"R$ 23,00","10,13%","11,02%","12,18%","12,81%","3,67%","2,03%","1,07%","11,02%","0,00%","10,13%","11,11%","R$ 91.223.530,50","R$ 238,79","0,95",N/A,N/A,N/A,N/A,"1,80%",N/A,1
CNES11,Lajes Corporativas,"R$ 43,64",213.0,"R$ 0,10","0,22%","0,87%","2,07%","4,59%","0,29%","0,34%","0,38%","0,54%","-13,22%","-13,03%","-12,75%","R$ 270.853.338,37","R$ 91,84","0,48",N/A,N/A,N/A,N/A,"36,30%",N/A,1
EDGA11,Lajes Corporativas,"R$ 26,68",4686.0,"R$ 0,15","0,56%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,00%","-14,37%","-13,89%","-13,51%","R$ 299.273.698,11","R$ 78,51","0,34",N/A,N/A,N/A,N/A,"45,61%",N/A,1
